# global total consumption (equivalent to global total production) of cereals (Mt),,,
year,Scenario,value,crop
2015,CC,2827.695004,cereals
2020,CC,2894.114683,cereals
2025,CC,2983.305529,cereals
2030,CC,3061.72242,cereals
2035,CC,3106.381831,cereals
2040,CC,3156.142898,cereals
2045,CC,3201.541971,cereals
2050,CC,3240.650433,cereals
2015,RF,2827.695004,cereals
2020,RF,2918.301375,cereals
2025,RF,3016.125892,cereals
2030,RF,3104.490902,cereals
2035,RF,3159.979985,cereals
2040,RF,3222.523425,cereals
2045,RF,3294.033855,cereals
2050,RF,3359.752891,cereals
2015,SS,2827.695004,cereals
2020,SS,2918.301375,cereals
2025,SS,2922.63417,cereals
2030,SS,3002.479835,cereals
2035,SS,3051.628522,cereals
2040,SS,3105.4237,cereals
2045,SS,3167.131051,cereals
2050,SS,3223.829517,cereals
2015,SC,2827.695004,cereals
2020,SC,2894.114683,cereals
2025,SC,2891.26527,cereals
2030,SC,2959.234933,cereals
2035,SC,2996.458976,cereals
2040,SC,3038.026374,cereals
2045,SC,3075.045059,cereals
2050,SC,3106.51513,cereals
